gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,team_alive,team_id,team_name,team_rating,team_region,team_seed
mens,2016-03-14,0,1.0,0.79464229,0.42966905,0.13410495,0.06256299,0.03166823,0.01279134,1,120,Maryland,87.37,South,5
mens,2016-03-14,0,1.0,0.87683343,0.35794705,0.10951496,0.0576697,0.02564762,0.01139729,1,84,Indiana,87.36,East,5
mens,2016-03-14,0,1.0,0.85764429,0.36991532,0.14398713,0.05013132,0.02578158,0.01059523,1,2390,Miami (FL),87.05,South,3
mens,2016-03-14,0,1.0,0.84070229,0.40173385,0.14743067,0.06397299,0.02509005,0.01033111,1,66,Iowa State,86.5,Midwest,4
mens,2016-03-14,0,1.0,0.61274924,0.27071246,0.13099527,0.060489,0.02384094,0.01019246,1,239,Baylor,85.47,West,5
mens,2016-03-14,0,1.0,0.70010916,0.32721314,0.12683644,0.05881695,0.02134828,0.00849516,1,251,Texas,84.66,West,6
mens,2016-03-14,0,1.0,0.87009917,0.4955672,0.15469945,0.05296992,0.02032035,0.00820703,1,254,Utah,86.64,Midwest,3
mens,2016-03-14,1,0.50586626,0.24007144,0.14490973,0.066134,0.02675921,0.01547836,0.00725003,1,2724,Wichita State,86.59,South,11b
mens,2016-03-14,0,1.0,0.85542774,0.47614677,0.1086855,0.0397645,0.01892783,0.00715512,1,25,California,86.53,South,4
mens,2016-03-14,0,1.0,0.72194021,0.18532737,0.08927356,0.03200172,0.01577552,0.00619198,1,2294,Iowa,85.91,South,7
mens,2016-03-14,1,0.49413374,0.22524586,0.13245678,0.06198206,0.02568599,0.01364229,0.00580811,1,238,Vanderbilt,85.59,South,11a
mens,2016-03-14,0,1.0,0.60181899,0.30534,0.09376385,0.03161595,0.01166896,0.00455642,1,2250,Gonzaga,85.96,Midwest,11
mens,2016-03-14,0,1.0,0.62883547,0.27120281,0.10943365,0.02887316,0.01059594,0.00396537,1,275,Wisconsin,84.75,East,7
mens,2016-03-14,0,1.0,0.65620848,0.22387739,0.10096272,0.02641704,0.00934835,0.0033867,1,87,Notre Dame,84.36,East,6
mens,2016-03-14,0,1.0,0.63662767,0.09951278,0.0528118,0.02072957,0.00924016,0.00325782,1,41,Connecticut,85.32,South,9
mens,2016-03-14,0,1.0,0.60648609,0.18259449,0.08393883,0.03188932,0.0092906,0.00304924,1,2132,Cincinnati,83.7,West,9
mens,2016-03-14,0,1.0,0.66939449,0.14723674,0.06305958,0.02494155,0.00841967,0.00304062,1,2086,Butler,84.17,Midwest,9
mens,2016-03-14,0,1.0,0.39818101,0.1714058,0.05331916,0.01819683,0.00630266,0.00232791,1,2550,Seton Hall,84.46,Midwest,6
mens,2016-03-14,0,1.0,0.73443704,0.13989595,0.05707852,0.02168932,0.00566235,0.00168649,1,2670,Virginia Commonwealth,83.05,West,10
mens,2016-03-14,0,1.0,0.52355784,0.11287306,0.05315441,0.01567429,0.00449066,0.00140379,1,2168,Dayton,82.37,Midwest,7
mens,2016-03-14,0,1.0,0.47644216,0.09734414,0.04430409,0.01255474,0.00359924,0.00112578,1,183,Syracuse,82.69,Midwest,10
mens,2016-03-14,0,1.0,0.37116453,0.12546356,0.04765302,0.01173387,0.00353829,0.00111092,1,221,Pittsburgh,82.29,East,10
mens,2016-03-14,0,1.0,0.39351391,0.09322671,0.03568588,0.0112186,0.00262887,0.00071111,1,2603,Saint Joseph's,81.61,West,8
mens,2016-03-14,0,1.0,0.62200871,0.0616355,0.02023095,0.0082972,0.00234695,0.00069577,1,2507,Providence,82.48,East,9
mens,2016-03-14,0,1.0,0.29989084,0.09516434,0.02507946,0.0084253,0.00185521,0.00047461,1,2460,Northern Iowa,80.24,West,11
mens,2016-03-14,0,1.0,0.15189607,0.06274396,0.02012179,0.00357558,0.00126262,0.00045655,1,2617,Stephen F. Austin,80.98,East,14
mens,2016-03-14,0,1.0,0.36337233,0.03928262,0.01515909,0.00413982,0.00153876,0.00044932,1,38,Colorado,81.46,South,8
mens,2016-03-14,0,1.0,0.38725076,0.13930259,0.03700786,0.00980374,0.00192763,0.00044526,1,43,Yale,80.2,West,12
mens,2016-03-14,0,1.0,0.33060551,0.04701794,0.01374853,0.00382012,0.00119576,0.00040412,1,2641,Texas Tech,81.27,Midwest,8
mens,2016-03-14,1,0.46378293,0.15495831,0.03650961,0.01209639,0.00222762,0.0007156,0.00023778,1,202,Tulsa,79.93,East,11b
mens,2016-03-14,1,0.53621707,0.18883321,0.04683546,0.01622792,0.00313976,0.00082848,0.00023072,1,130,Michigan,79.57,East,11a
mens,2016-03-14,0,1.0,0.37799129,0.02681753,0.00601826,0.00180312,0.00052577,0.00016018,1,30,Southern California,81.4,East,8
mens,2016-03-14,0,1.0,0.1580884,0.04770128,0.00826443,0.00191855,0.00048245,0.00013435,1,2031,Arkansas-Little Rock,78.9,Midwest,12
mens,2016-03-14,0,1.0,0.20535771,0.06034051,0.00741602,0.00160107,0.00045855,0.00010288,1,2571,South Dakota State,78.64,South,12
mens,2016-03-14,0,1.0,0.27805979,0.04054921,0.0094281,0.00164487,0.00044202,9.305e-05,1,218,Temple,78.48,South,10
mens,2016-03-14,0,1.0,0.15402084,0.04699842,0.01008468,0.00219083,0.00036807,7.368e-05,1,350,North Carolina-Wilmington,77.72,West,13
mens,2016-03-14,0,1.0,0.26556296,0.02682859,0.00814584,0.00234282,0.00034114,5.987e-05,1,204,Oregon State,77.63,West,7
mens,2016-03-14,0,1.0,0.15929771,0.03193922,0.0050085,0.00106553,0.00021028,4.712e-05,1,314,Iona,78.22,Midwest,13
mens,2016-03-14,0,1.0,0.11768487,0.02813062,0.00456128,0.0009999,0.00014087,2.398e-05,1,2739,Green Bay,76.18,West,14
mens,2016-03-14,0,1.0,0.07469338,0.01518218,0.00196437,0.00054641,9.772e-05,1.91e-05,1,2619,Stony Brook,77.09,East,13
mens,2016-03-14,0,1.0,0.12316657,0.01629048,0.0016262,0.0003633,7.148e-05,1.525e-05,1,236,Chattanooga,76.6,East,12
mens,2016-03-14,0,1.0,0.14457226,0.03384366,0.00262335,0.00037167,8.068e-05,1.374e-05,1,62,Hawaii,78.02,South,13
mens,2016-03-14,0,1.0,0.12990083,0.027687,0.00311017,0.00039728,6.518e-05,1.235e-05,1,278,Fresno State,76.61,Midwest,14
mens,2016-03-14,0,1.0,0.14235571,0.02062524,0.00283254,0.00037113,7.587e-05,1.217e-05,1,2084,Buffalo,75.66,South,14
mens,2016-03-14,0,1.0,0.04141681,0.01194585,0.00320875,0.00082242,8.785e-05,1.155e-05,1,2934,Cal State Bakersfield,74.97,West,15
mens,2016-03-14,0,1.0,0.0514809,0.01348492,0.00288726,0.00036377,5.332e-05,9.11e-06,1,2393,Middle Tennessee,75.02,Midwest,15
mens,2016-03-14,0,1.0,0.03706028,0.00711099,0.00107081,0.00012301,2.229e-05,3.17e-06,1,2427,North Carolina-Asheville,74.17,South,15
mens,2016-03-14,0,1.0,0.05872659,0.00801166,0.00082059,5.054e-05,5.99e-06,8e-07,1,2692,Weber State,73.28,East,15
mens,2016-03-14,1,0.67226037,0.00903984,0.00175648,0.00013275,1.496e-05,1.58e-06,1.9e-07,1,526,Florida Gulf Coast,71.41,East,16a
mens,2016-03-14,1,0.51992211,0.01317002,0.00131777,0.00012177,9.26e-06,6.2e-07,5e-08,1,2582,Southern,67.96,West,16b
mens,2016-03-14,0,1.0,0.00972934,0.00089393,9.367e-05,6.55e-06,6e-07,4e-08,1,2046,Austin Peay,68.83,South,16
mens,2016-03-14,0,1.0,0.01742235,0.00193607,0.00010849,6.24e-06,3.5e-07,2e-08,1,2261,Hampton,68.61,Midwest,16
mens,2016-03-14,1,0.48007789,0.00995139,0.00082815,6.08e-05,3.68e-06,1.7e-07,1e-08,1,107,Holy Cross,66.85,West,16a
mens,2016-03-14,1,0.32773963,0.00242482,0.00028391,1.65e-05,1.45e-06,8e-08,0.0,1,161,Fairleigh Dickinson,66.72,East,16b
womens,2016-03-14,0,1.0,0.99990202,0.99585093,0.97767374,0.95475179,0.83588714,0.70373913,1,41,Connecticut,113.09,Bridgeport,1
womens,2016-03-14,0,1.0,0.99885466,0.9540887,0.82099031,0.52706545,0.33820089,0.08906982,1,87,Notre Dame,101.07,Lexington,1
womens,2016-03-14,0,1.0,0.99606356,0.96487992,0.83350564,0.63899794,0.33849702,0.07783769,1,2579,South Carolina,101.07,Sioux Falls,1
womens,2016-03-14,0,1.0,0.99624233,0.97476672,0.8440524,0.69110882,0.12492039,0.06714964,1,239,Baylor,101.59,Dallas,1
womens,2016-03-14,0,1.0,0.99253958,0.94395344,0.67108834,0.32160038,0.17349224,0.03406882,1,120,Maryland,99.01,Lexington,2
womens,2016-03-14,0,1.0,0.98270138,0.80669002,0.49676574,0.16854791,0.0604633,0.00832131,1,194,Ohio State,93.9,Sioux Falls,3
womens,2016-03-14,0,1.0,0.9954636,0.9382185,0.54605823,0.14193816,0.0119909,0.00388788,1,204,Oregon State,95.42,Dallas,2
womens,2016-03-14,0,1.0,0.98722942,0.7654693,0.27424116,0.09448059,0.03253187,0.00335135,1,96,Kentucky,90.97,Lexington,3
womens,2016-03-14,0,1.0,0.99808865,0.90577292,0.59762815,0.02431863,0.00846835,0.00260056,1,251,Texas,93.58,Bridgeport,2
womens,2016-03-14,0,1.0,0.98987125,0.71395956,0.32741816,0.07402929,0.00711813,0.00254281,1,97,Louisville,92.24,Dallas,3
womens,2016-03-14,0,1.0,0.97268811,0.76965317,0.34398122,0.09341001,0.02025183,0.00153985,1,9,Arizona State,91.32,Sioux Falls,2
womens,2016-03-14,0,1.0,0.9518336,0.83717326,0.14411474,0.0406782,0.01202691,0.0010175,1,24,Stanford,92.4,Lexington,4
womens,2016-03-14,0,1.0,0.87766027,0.7258647,0.1319107,0.05694179,0.01247596,0.00096228,1,183,Syracuse,89.59,Sioux Falls,4
womens,2016-03-14,0,1.0,0.87804505,0.42079582,0.07000999,0.03409985,0.00254668,0.00075807,1,52,Florida State,91.5,Dallas,5
womens,2016-03-14,0,1.0,0.91974488,0.37622261,0.00921155,0.00519512,0.00175755,0.0005278,1,127,Michigan State,90.07,Bridgeport,4
womens,2016-03-14,0,1.0,0.751084,0.2462461,0.10023295,0.0196935,0.00158747,0.00050161,1,305,DePaul,90.08,Dallas,6
womens,2016-03-14,0,1.0,0.91646581,0.60005885,0.01147271,0.00581728,0.00165911,0.00041901,1,344,Mississippi State,89.46,Bridgeport,5
womens,2016-03-14,0,1.0,0.70297974,0.18275717,0.0732006,0.01764134,0.00438842,0.00039436,1,2633,Tennessee,88.93,Sioux Falls,7
womens,2016-03-14,0,1.0,0.92568688,0.54922235,0.07897366,0.03494329,0.00168692,0.00035693,1,245,Texas A&M,88.71,Dallas,4
womens,2016-03-14,0,1.0,0.96897516,0.7590723,0.28143537,0.00657049,0.00151341,0.00030799,1,26,UCLA,89.93,Bridgeport,3
womens,2016-03-14,0,1.0,0.64224564,0.13936101,0.05726962,0.01165027,0.00238677,0.00017239,1,277,West Virginia,87.0,Sioux Falls,6
womens,2016-03-14,0,1.0,0.73277807,0.19884745,0.08226903,0.00229144,0.00058601,0.00013326,1,58,South Florida,88.52,Bridgeport,6
womens,2016-03-14,0,1.0,0.61063624,0.15841025,0.0304264,0.00592059,0.00149699,0.00010534,1,201,Oklahoma,87.47,Lexington,6
womens,2016-03-14,0,1.0,0.68616007,0.11576827,0.01383932,0.00289768,0.00063738,3.792e-05,1,2390,Miami (FL),86.51,Lexington,5
womens,2016-03-14,0,1.0,0.51645623,0.02434291,0.01044857,0.00212904,0.0004472,2.524e-05,1,61,Georgia,84.53,Lexington,8
womens,2016-03-14,0,1.0,0.35775436,0.05187074,0.01734181,0.00279666,0.00041537,2.12e-05,1,163,Princeton,84.15,Sioux Falls,11
womens,2016-03-14,0,1.0,0.38936376,0.07520484,0.01079305,0.00160204,0.00035064,2.082e-05,1,2509,Purdue,83.02,Lexington,11
womens,2016-03-14,0,1.0,0.48354377,0.02149296,0.00853758,0.00157543,0.00034486,2.048e-05,1,84,Indiana,82.85,Lexington,9
womens,2016-03-14,0,1.0,0.64231524,0.04061525,0.01120452,0.0016676,0.00033368,1.776e-05,1,264,Washington,86.47,Lexington,7
womens,2016-03-14,0,1.0,0.50233129,0.11056177,0.01054392,0.00284266,0.00036458,1.587e-05,1,57,Florida,83.36,Sioux Falls,5
womens,2016-03-14,0,1.0,0.6379073,0.02556317,0.00998101,0.00261048,0.00033401,1.449e-05,1,45,George Washington,82.9,Sioux Falls,8
womens,2016-03-14,0,1.0,0.29702026,0.0435775,0.01101394,0.00162741,0.0002382,1.199e-05,1,2739,Green Bay,83.06,Sioux Falls,10
womens,2016-03-14,0,1.0,0.80099966,0.05696449,0.01746879,0.00201316,6.066e-05,8.79e-06,1,197,Oklahoma State,83.28,Dallas,7
womens,2016-03-14,0,1.0,0.63710335,0.0693914,0.02515692,0.00034286,5.711e-05,8.56e-06,1,142,Missouri,82.9,Bridgeport,10
womens,2016-03-14,0,1.0,0.58213862,0.002755,0.00111135,0.00043357,6.067e-05,7.68e-06,1,2550,Seton Hall,81.76,Bridgeport,8
womens,2016-03-14,0,1.0,0.49766871,0.10890493,0.00790106,0.00171603,0.00016672,5.42e-06,1,399,Albany (NY),80.9,Sioux Falls,12
womens,2016-03-14,0,1.0,0.248916,0.03929414,0.00844274,0.00081379,2.935e-05,4.97e-06,1,256,James Madison,83.04,Dallas,11
womens,2016-03-14,0,1.0,0.41786138,0.00138468,0.00045685,0.00014739,2.167e-05,2.89e-06,1,2184,Duquesne,80.74,Bridgeport,9
womens,2016-03-14,0,1.0,0.53218768,0.01361495,0.003366,0.00070584,2.009e-05,2.79e-06,1,2599,St. John's (NY),82.19,Dallas,8
womens,2016-03-14,0,1.0,0.3620927,0.00873971,0.00282889,0.00059649,5.898e-05,1.96e-06,1,2306,Kansas State,80.28,Sioux Falls,9
womens,2016-03-14,0,1.0,0.12233973,0.05466861,0.00323998,0.00059898,4.957e-05,1.37e-06,1,349,Army,79.02,Sioux Falls,13
womens,2016-03-14,0,1.0,0.46781232,0.01066599,0.00242852,0.00046902,1.082e-05,1.26e-06,1,2,Auburn,80.17,Dallas,9
womens,2016-03-14,0,1.0,0.31383993,0.0303963,0.00174222,0.00019381,2.583e-05,8.7e-07,1,2571,South Dakota State,80.11,Lexington,12
womens,2016-03-14,0,1.0,0.26722193,0.03719148,0.00669604,6.073e-05,6.88e-06,7.1e-07,1,36,Colorado State,80.15,Bridgeport,11
womens,2016-03-14,0,1.0,0.36289665,0.02474385,0.00648949,5.632e-05,6.04e-06,5.9e-07,1,252,Brigham Young,80.17,Bridgeport,7
womens,2016-03-14,0,1.0,0.35768476,0.013795,0.0021256,0.00017162,1.911e-05,5.2e-07,1,219,Pennsylvania,78.59,Lexington,10
womens,2016-03-14,0,1.0,0.12195495,0.01871554,0.0007335,0.00012115,2.58e-06,2.8e-07,1,2393,Middle Tennessee,78.25,Dallas,12
womens,2016-03-14,0,1.0,0.08353419,0.0169029,6.002e-05,1.171e-05,1.11e-06,1e-07,1,236,Chattanooga,76.47,Bridgeport,12
womens,2016-03-14,0,1.0,0.07431312,0.01126629,0.00035221,4.802e-05,6.9e-07,5e-08,1,2623,Missouri State,75.75,Dallas,13
womens,2016-03-14,0,1.0,0.0481664,0.01666217,0.00032332,1.366e-05,7.5e-07,1e-08,1,2539,San Francisco,74.26,Lexington,13
womens,2016-03-14,0,1.0,0.08025512,0.00681563,1.331e-05,1.7e-06,1.1e-07,1e-08,1,2057,Belmont,72.64,Bridgeport,13
womens,2016-03-14,0,1.0,0.02731189,0.00401216,0.0002541,9.6e-06,2.9e-07,0.0,1,166,New Mexico State,71.42,Sioux Falls,15
womens,2016-03-14,0,1.0,0.01729862,0.00207822,0.00017299,6.68e-06,2.6e-07,0.0,1,2084,Buffalo,71.12,Sioux Falls,14
womens,2016-03-14,0,1.0,0.00746042,0.00163631,0.00010481,3.52e-06,1.8e-07,0.0,1,314,Iona,71.24,Lexington,15
womens,2016-03-14,0,1.0,0.00393644,0.00081721,8.88e-05,5.76e-06,1.7e-07,0.0,1,294,Jacksonville,69.99,Sioux Falls,16
womens,2016-03-14,0,1.0,0.19900034,0.00410366,0.00032443,8.82e-06,8e-08,0.0,1,179,St. Bonaventure,77.32,Dallas,10
womens,2016-03-14,0,1.0,0.00375767,0.00095234,8.372e-05,6.35e-06,5e-08,0.0,1,70,Idaho,72.69,Dallas,16
womens,2016-03-14,0,1.0,0.03102484,0.00488876,0.0003226,9.4e-07,4e-08,0.0,1,62,Hawaii,74.1,Bridgeport,14
womens,2016-03-14,0,1.0,0.01277058,0.0009156,1.612e-05,3.3e-07,1e-08,0.0,1,2427,North Carolina-Asheville,66.13,Lexington,14
womens,2016-03-14,0,1.0,0.0045364,0.00071335,3.542e-05,6.1e-07,0.0,0.0,1,2653,Troy,68.25,Dallas,15
womens,2016-03-14,0,1.0,0.01012875,0.0005002,1.927e-05,3.3e-07,0.0,0.0,1,2110,Central Arkansas,66.93,Dallas,14
womens,2016-03-14,0,1.0,0.00114534,7.543e-05,3.94e-06,7e-08,0.0,0.0,1,2448,North Carolina A&T,64.33,Lexington,16
womens,2016-03-14,0,1.0,9.798e-05,9.39e-06,4.8e-07,3e-08,0.0,0.0,1,2523,Robert Morris,64.62,Bridgeport,16
womens,2016-03-14,0,1.0,0.00191135,9.183e-05,2.39e-06,0.0,0.0,0.0,1,2011,Alabama State,59.87,Bridgeport,15
